2017-08-14 16:37:53, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-14 16:37:54, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-14 16:37:54, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:37:54, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
2017-08-14 16:37:54, 1.3.6.1.2.1.25.3.3.1.2, hrProcessorLoad, 0
2017-08-14 16:37:54, 1.3.6.1.2.1.1.5, sysName, 0
2017-08-14 16:37:54, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 37
2017-08-14 16:37:54, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-14 16:37:55, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-14 16:37:55, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-14 16:37:55, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-14 16:37:56, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-14 16:37:56, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-14 16:37:56, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-14 16:37:57, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-14 16:37:57, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-14 16:37:57, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
2017-08-14 16:37:57, 1.3.6.1.4.1.99999.1.1.6, SIM status, 0
2017-08-14 16:37:58, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-14 16:37:58, 1.3.6.1.4.1.99999.1.1.8, IMSI, 0
2017-08-14 16:37:58, 1.3.6.1.4.1.99999.1.1.9, Mobile network registration status, 0
2017-08-14 16:37:59, 1.3.6.1.4.1.99999.1.1.10, Signal level, 0
2017-08-14 16:37:59, 1.3.6.1.4.1.99999.1.1.11, Operator currently in use, 0
2017-08-14 16:37:59, 1.3.6.1.4.1.99999.1.1.12, Operator number (MCC+MNC), 0
2017-08-14 16:37:59, 1.3.6.1.4.1.99999.1.1.13, Data session connection state, 0
2017-08-14 16:38:00, 1.3.6.1.4.1.99999.1.1.14, Data session connection type, 0
2017-08-14 16:38:00, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-14 16:38:00, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-14 16:38:00, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:38:00, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
2017-08-14 16:38:00, 1.3.6.1.2.1.25.3.3.1.2, hrProcessorLoad, 0
2017-08-14 16:38:00, 1.3.6.1.2.1.1.5, sysName, 0
2017-08-14 16:38:01, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 37
2017-08-14 16:38:02, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-14 16:38:02, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-14 16:38:02, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-14 16:38:03, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-14 16:38:03, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-14 16:38:03, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-14 16:38:04, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-14 16:38:04, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-14 16:38:04, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-14 16:38:05, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
2017-08-14 16:38:05, 1.3.6.1.4.1.99999.1.1.6, SIM status, 0
2017-08-14 16:38:06, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-14 16:38:10, 1.3.6.1.4.1.99999.1.1.8, IMSI, 0
2017-08-14 16:38:10, 1.3.6.1.4.1.99999.1.1.9, Mobile network registration status, 0
2017-08-14 16:38:11, 1.3.6.1.4.1.99999.1.1.10, Signal level, 0
2017-08-14 16:38:11, 1.3.6.1.4.1.99999.1.1.11, Operator currently in use, 0
2017-08-14 16:38:13, 1.3.6.1.4.1.99999.1.1.12, Operator number (MCC+MNC), 0
2017-08-14 16:38:14, 1.3.6.1.4.1.99999.1.1.13, Data session connection state, 0
2017-08-14 16:38:14, 1.3.6.1.4.1.99999.1.1.14, Data session connection type, 0
2017-08-14 16:38:15, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-14 16:38:15, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-14 16:38:15, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:38:15, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
2017-08-14 16:38:15, 1.3.6.1.2.1.25.3.3.1.2, hrProcessorLoad, 0
2017-08-14 16:38:15, 1.3.6.1.2.1.1.5, sysName, 0
2017-08-14 16:38:15, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 38
2017-08-14 16:38:16, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-14 16:38:16, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-14 16:38:16, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-14 16:38:17, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-14 16:38:17, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-14 16:38:20, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-14 16:38:20, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-14 16:38:20, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-14 16:38:21, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-14 16:38:21, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
2017-08-14 16:38:21, 1.3.6.1.4.1.99999.1.1.6, SIM status, 0
2017-08-14 16:38:22, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-14 16:38:22, 1.3.6.1.4.1.99999.1.1.8, IMSI, 0
2017-08-14 16:38:22, 1.3.6.1.4.1.99999.1.1.9, Mobile network registration status, 0
2017-08-14 16:38:22, 1.3.6.1.4.1.99999.1.1.10, Signal level, 0
2017-08-14 16:38:23, 1.3.6.1.4.1.99999.1.1.11, Operator currently in use, 0
2017-08-14 16:38:23, 1.3.6.1.4.1.99999.1.1.12, Operator number (MCC+MNC), 0
2017-08-14 16:38:23, 1.3.6.1.4.1.99999.1.1.13, Data session connection state, 0
2017-08-14 16:38:24, 1.3.6.1.4.1.99999.1.1.14, Data session connection type, 0
2017-08-14 16:38:24, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-14 16:38:24, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-14 16:38:24, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:38:24, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
2017-08-14 16:39:25, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 38
